c_w,d_tresh,numGapJns,rep,spikeRate
1.4,0.4,0.35,1,81.76
1.4,0.4,0.29,2,92.6
1.6,0.4,0.24,0,88.98
1.6,0.4,0.28,1,84.96
1.6,0.4,0.29,2,1.92
1.8,0.4,0.21,0,79.12
1.8,0.4,0.22,1,78.36
1.8,0.4,0.27,2,91.56
2.0,0.4,0.24,0,75.32
2.0,0.4,0.25,1,78.14
2.0,0.4,0.21,2,86.06
2.2,0.4,0.22,0,84.98
2.2,0.4,0.22,1,88.34
2.2,0.4,0.23,2,77.46
2.4,0.4,0.15,0,84.7
2.4,0.4,0.22,1,86.38
2.4,0.4,0.29,2,0.9
2.6,0.4,0.18,0,67.44
2.6,0.4,0.27,1,2.5
2.6,0.4,0.24,2,83.36
2.8,0.4,0.24,0,77.08
2.8,0.4,0.37,1,1.12
2.8,0.4,0.28,2,95.06
3.0,0.4,0.23,0,81.6
3.0,0.4,0.2,1,2.18
3.0,0.4,0.2,2,83.96
3.2,0.4,0.25,0,82.82
3.2,0.4,0.2,1,99.88
3.2,0.4,0.22,2,92.1
3.4,0.4,0.21,0,70.24
3.4,0.4,0.22,1,71.26
3.4,0.4,0.26,2,81.54
3.6,0.4,0.22,0,1.66
3.6,0.4,0.2,1,83.58
3.6,0.4,0.31,2,96.5
3.8,0.4,0.25,0,73.86
3.8,0.4,0.12,1,69.82
3.8,0.4,0.22,2,0.82
0.0,0.5,0.0,0,94.72
0.0,0.5,0.0,1,1.18
0.0,0.5,0.0,2,1.68
0.2,0.5,0.41,0,82.84
0.2,0.5,0.38,1,75.74
0.2,0.5,0.37,2,3.84
0.4,0.5,0.45,0,82.68
0.4,0.5,0.39,1,94.46
0.4,0.5,0.36,2,71.7
0.6,0.5,0.33,0,1.08
0.6,0.5,0.33,1,1.6
0.6,0.5,0.59,2,92.94
0.8,0.5,0.39,0,0.66
0.8,0.5,0.38,1,88.04
0.8,0.5,0.39,2,0.7
1.0,0.5,0.4,0,87.06
1.0,0.5,0.46,1,0.86
1.0,0.5,0.42,2,96.28
1.2,0.5,0.51,0,0.9
1.2,0.5,0.4,1,79.5
1.2,0.5,0.34,2,66.56
1.4,0.5,0.41,0,0.9
1.4,0.5,0.37,1,1.26
1.4,0.5,0.42,2,96.1
1.6,0.5,0.43,0,1.58
1.6,0.5,0.37,1,78.8
1.6,0.5,0.43,2,0.66
1.8,0.5,0.34,0,84.82
1.8,0.5,0.45,1,81.26
1.8,0.5,0.4,2,84.38
2.0,0.5,0.4,0,84.28
2.0,0.5,0.31,1,1.78
2.0,0.5,0.36,2,1.1
2.2,0.5,0.49,0,79.72
2.2,0.5,0.49,1,0.7
2.2,0.5,0.34,2,1.06
2.4,0.5,0.33,0,78.22
2.4,0.5,0.51,1,91.16
2.4,0.5,0.37,2,68.9
2.6,0.5,0.38,0,3.2
2.6,0.5,0.41,1,91.42
2.6,0.5,0.5,2,85.26
2.8,0.5,0.53,0,90.48
2.8,0.5,0.44,1,0.94
2.8,0.5,0.52,2,1.22
3.0,0.5,0.28,0,71.02
3.0,0.5,0.42,1,84.48
3.0,0.5,0.43,2,1.0
3.2,0.5,0.36,0,75.68
3.2,0.5,0.42,1,86.04
3.2,0.5,0.37,2,1.74
3.4,0.5,0.32,0,0.98
3.4,0.5,0.34,1,1.1
3.4,0.5,0.45,2,90.82
3.6,0.5,0.39,0,86.6
3.6,0.5,0.51,1,1.4
3.6,0.5,0.38,2,0.82
3.8,0.5,0.42,0,1.38
3.8,0.5,0.44,1,99.22
3.8,0.5,0.38,2,1.44
0.0,0.6,0.0,0,0.82
0.0,0.6,0.0,1,81.94
0.0,0.6,0.0,2,0.82
0.2,0.6,0.51,0,2.44
0.2,0.6,0.55,1,71.66
0.2,0.6,0.55,2,85.1
0.4,0.6,0.7,0,0.86
0.4,0.6,0.51,1,1.28
0.4,0.6,0.53,2,90.04
0.6,0.6,0.65,0,87.9
0.6,0.6,0.44,1,74.52
0.6,0.6,0.54,2,59.18
0.8,0.6,0.59,0,78.08
0.8,0.6,0.57,1,89.24
0.8,0.6,0.53,2,1.52
1.0,0.6,0.57,0,74.76
1.0,0.6,0.58,1,79.36
1.0,0.6,0.67,2,78.54
1.2,0.6,0.62,0,93.08
1.2,0.6,0.53,1,0.7
1.2,0.6,0.57,2,3.22
1.4,0.6,0.49,0,78.94
1.4,0.6,0.46,1,80.42
1.4,0.6,0.56,2,89.8
1.6,0.6,0.56,0,1.0
1.6,0.6,0.66,1,1.4
1.6,0.6,0.51,2,81.06
1.8,0.6,0.41,0,77.3
1.8,0.6,0.4,1,1.32
1.8,0.6,0.48,2,80.12
2.0,0.6,0.51,0,86.84
2.0,0.6,0.62,1,0.88
2.0,0.6,0.73,2,98.16
2.2,0.6,0.43,0,30.6
2.2,0.6,0.59,1,85.68
2.2,0.6,0.49,2,0.82
2.4,0.6,0.55,0,73.64
2.4,0.6,0.52,1,85.38
2.4,0.6,0.62,2,1.06
2.6,0.6,0.68,0,12.66
2.6,0.6,0.58,1,0.84
2.6,0.6,0.48,2,96.86
2.8,0.6,0.53,0,79.78
2.8,0.6,0.54,1,0.92
2.8,0.6,0.48,2,0.78
3.0,0.6,0.62,0,92.54
3.0,0.6,0.61,1,91.4
3.0,0.6,0.67,2,85.1
3.2,0.6,0.59,0,83.36
3.2,0.6,0.53,1,1.0
3.2,0.6,0.54,2,84.36
3.4,0.6,0.6,0,0.66
3.4,0.6,0.55,1,82.98
3.4,0.6,0.58,2,95.26
3.6,0.6,0.62,0,1.0
3.6,0.6,0.56,1,96.8
3.6,0.6,0.6,2,82.5
3.8,0.6,0.6,0,85.06
3.8,0.6,0.63,1,1.02
3.8,0.6,0.6,2,14.34
0.0,0.7,0.0,0,92.86
0.0,0.7,0.0,1,0.86
0.0,0.7,0.0,2,71.72
0.2,0.7,0.68,0,2.14
0.2,0.7,0.69,1,85.8
0.2,0.7,0.66,2,19.94
0.4,0.7,0.76,0,2.0
0.4,0.7,0.68,1,1.58
0.4,0.7,0.8,2,84.14
0.6,0.7,0.83,0,92.36
0.6,0.7,0.8,1,1.48
0.6,0.7,0.86,2,92.2
0.8,0.7,0.69,0,85.32
0.8,0.7,0.83,1,92.36
0.8,0.7,0.7,2,76.66
1.0,0.7,0.88,0,87.46
1.0,0.7,0.81,1,83.9
1.0,0.7,0.84,2,91.84
1.2,0.7,0.73,0,1.76
1.2,0.7,0.66,1,1.9
1.2,0.7,0.75,2,87.62
1.4,0.7,0.77,0,2.66
1.4,0.7,0.75,1,81.7
1.4,0.7,0.72,2,3.66
1.6,0.7,0.76,0,92.4
1.6,0.7,0.79,1,1.2
1.6,0.7,0.89,2,94.08
1.8,0.7,0.69,0,77.76
1.8,0.7,0.76,1,1.34
1.8,0.7,0.77,2,1.22
2.0,0.7,0.7,0,76.9
2.0,0.7,0.75,1,1.3
2.0,0.7,0.71,2,87.0
2.2,0.7,0.95,0,1.9
2.2,0.7,0.71,1,0.76
2.2,0.7,0.74,2,83.2
2.4,0.7,0.7,0,79.26
2.4,0.7,0.71,1,0.86
2.4,0.7,0.6,2,90.06
2.6,0.7,0.7,0,80.98
2.6,0.7,0.86,1,1.4
2.6,0.7,0.85,2,8.58
2.8,0.7,0.94,0,1.38
2.8,0.7,1.0,1,93.64
2.8,0.7,0.73,2,5.02
3.0,0.7,0.6,0,51.06
3.0,0.7,0.78,1,55.4
3.0,0.7,0.74,2,0.88
3.2,0.7,0.69,0,82.0
3.2,0.7,0.66,1,80.92
3.2,0.7,0.78,2,74.9
3.4,0.7,0.88,0,0.98
3.4,0.7,0.74,1,0.86
3.4,0.7,0.79,2,93.18
3.6,0.7,0.78,0,0.9
3.6,0.7,0.63,1,0.86
3.6,0.7,0.67,2,1.22
3.8,0.7,0.73,0,7.78
3.8,0.7,0.85,1,1.0
3.8,0.7,0.73,2,76.28
0.0,0.8,0.0,0,92.06
0.0,0.8,0.0,1,1.18
0.0,0.8,0.0,2,0.66
0.2,0.8,0.89,0,49.9
0.2,0.8,1.1,1,94.88
0.2,0.8,0.95,2,89.28
0.4,0.8,1.06,0,86.78
0.4,0.8,0.96,1,77.54
0.4,0.8,1.0,2,91.16
0.6,0.8,1.04,0,79.8
0.6,0.8,1.03,1,78.86
0.6,0.8,0.92,2,77.0
0.8,0.8,1.0,0,85.96
0.8,0.8,1.08,1,1.0
0.8,0.8,1.03,2,92.04
1.0,0.8,1.06,0,90.04
1.0,0.8,1.03,1,1.08
1.0,0.8,1.06,2,84.08
1.2,0.8,0.79,0,0.98
1.2,0.8,1.2,1,1.54
