c_w,d_tresh,numGapJns,rep,spikeRate
2.8,0.3,0.0,1,25.74
2.8,0.3,0.0,2,25.2
3.0,0.3,0.0,0,25.74
3.0,0.3,0.0,1,25.74
3.0,0.3,0.0,2,25.74
3.2,0.3,0.0,0,26.04
3.2,0.3,0.0,1,27.54
3.2,0.3,0.0,2,25.74
3.4,0.3,0.0,0,27.34
3.4,0.3,0.0,1,24.38
3.4,0.3,0.0,2,23.8
3.6,0.3,0.0,0,27.8
3.6,0.3,0.0,1,25.74
3.6,0.3,0.0,2,25.4
3.8,0.3,0.0,0,23.96
3.8,0.3,0.0,1,26.4
3.8,0.3,0.0,2,26.2
0.0,0.4,0.0,0,23.78
0.0,0.4,0.0,1,26.0
0.0,0.4,0.0,2,26.84
0.2,0.4,0.0,0,26.0
0.2,0.4,0.0,1,26.04
0.2,0.4,0.0,2,26.0
0.4,0.4,0.0,0,24.74
0.4,0.4,0.0,1,22.8
0.4,0.4,0.0,2,23.88
0.6,0.4,0.0,0,24.08
0.6,0.4,0.0,1,0.26
0.6,0.4,0.0,2,25.94
0.8,0.4,0.0,0,24.3
0.8,0.4,0.0,1,25.5
0.8,0.4,0.0,2,26.0
1.0,0.4,0.0,0,25.9
1.0,0.4,0.0,1,25.92
1.0,0.4,0.0,2,25.22
1.2,0.4,0.0,0,25.48
1.2,0.4,0.0,1,23.58
1.2,0.4,0.0,2,23.78
1.4,0.4,0.0,0,24.28
1.4,0.4,0.0,1,25.48
1.4,0.4,0.0,2,24.0
1.6,0.4,0.0,0,25.82
1.6,0.4,0.0,1,22.8
1.6,0.4,0.0,2,24.32
1.8,0.4,0.0,0,25.5
1.8,0.4,0.0,1,24.76
1.8,0.4,0.0,2,26.0
2.0,0.4,0.0,0,24.68
2.0,0.4,0.0,1,23.8
2.0,0.4,0.0,2,27.22
2.2,0.4,0.0,0,27.48
2.2,0.4,0.0,1,25.88
2.2,0.4,0.0,2,26.34
2.4,0.4,0.0,0,26.38
2.4,0.4,0.0,1,25.74
2.4,0.4,0.0,2,26.0
