c_w,d_tresh,numGapJns,rep,spikeRate
2.4,0.6,0.0,2,275.66
2.6,0.6,0.0,0,276.3
2.6,0.6,0.0,1,281.02
2.6,0.6,0.0,2,278.84
2.8,0.6,0.0,0,280.22
2.8,0.6,0.0,1,272.54
2.8,0.6,0.0,2,285.84
3.0,0.6,0.0,0,284.32
3.0,0.6,0.0,1,282.16
3.0,0.6,0.0,2,280.98
3.2,0.6,0.0,0,278.52
3.2,0.6,0.0,1,278.8
3.2,0.6,0.0,2,282.16
3.4,0.6,0.0,0,285.02
3.4,0.6,0.0,1,281.68
3.4,0.6,0.0,2,278.22
3.6,0.6,0.0,0,276.76
3.6,0.6,0.0,1,274.56
3.6,0.6,0.0,2,279.42
3.8,0.6,0.0,0,275.34
3.8,0.6,0.0,1,282.22
3.8,0.6,0.0,2,281.16
0.0,0.7,0.0,0,278.7
0.0,0.7,0.0,1,279.96
0.0,0.7,0.0,2,277.84
0.2,0.7,0.0,0,278.36
0.2,0.7,0.0,1,280.5
0.2,0.7,0.0,2,284.9
0.4,0.7,0.0,0,284.02
0.4,0.7,0.0,1,277.86
0.4,0.7,0.0,2,268.06
0.6,0.7,0.0,0,279.66
0.6,0.7,0.0,1,285.08
0.6,0.7,0.0,2,276.32
0.8,0.7,0.0,0,280.78
0.8,0.7,0.0,1,284.86
0.8,0.7,0.0,2,284.72
1.0,0.7,0.0,0,280.8
1.0,0.7,0.0,1,284.28
1.0,0.7,0.0,2,281.2
1.2,0.7,0.0,0,278.46
1.2,0.7,0.0,1,282.9
1.2,0.7,0.0,2,281.68
1.4,0.7,0.0,0,281.16
1.4,0.7,0.0,1,281.48
1.4,0.7,0.0,2,285.04
1.6,0.7,0.0,0,274.54
1.6,0.7,0.0,1,279.22
1.6,0.7,0.0,2,284.08
1.8,0.7,0.0,0,273.88
1.8,0.7,0.0,1,281.52
1.8,0.7,0.0,2,285.16
2.0,0.7,0.0,0,283.9
2.0,0.7,0.0,1,276.66
2.0,0.7,0.0,2,285.04
2.2,0.7,0.0,0,282.96
2.2,0.7,0.0,1,284.38
2.2,0.7,0.0,2,278.64
2.4,0.7,0.0,0,283.86
2.4,0.7,0.0,1,281.44
2.4,0.7,0.0,2,274.82
2.6,0.7,0.0,0,279.24
2.6,0.7,0.0,1,282.22
2.6,0.7,0.0,2,277.2
2.8,0.7,0.0,0,284.16
2.8,0.7,0.0,1,283.02
2.8,0.7,0.0,2,280.4
3.0,0.7,0.0,0,270.08
3.0,0.7,0.0,1,284.48
3.0,0.7,0.0,2,284.24
3.2,0.7,0.0,0,280.02
3.2,0.7,0.0,1,279.58
3.2,0.7,0.0,2,284.52
3.4,0.7,0.0,0,274.88
3.4,0.7,0.0,1,282.2
3.4,0.7,0.0,2,279.86
3.6,0.7,0.0,0,281.52
3.6,0.7,0.0,1,283.04
3.6,0.7,0.0,2,276.1
3.8,0.7,0.0,0,284.48
3.8,0.7,0.0,1,278.14
3.8,0.7,0.0,2,274.02
0.0,0.8,0.0,0,278.0
0.0,0.8,0.0,1,277.28
0.0,0.8,0.0,2,282.16
0.2,0.8,0.0,0,281.54
0.2,0.8,0.0,1,285.16
0.2,0.8,0.0,2,275.68
0.4,0.8,0.0,0,281.04
0.4,0.8,0.0,1,276.72
0.4,0.8,0.0,2,282.06
0.6,0.8,0.0,0,285.2
0.6,0.8,0.0,1,280.1
0.6,0.8,0.0,2,279.1
0.8,0.8,0.0,0,278.98
0.8,0.8,0.0,1,282.74
0.8,0.8,0.0,2,277.22
1.0,0.8,0.0,0,280.78
1.0,0.8,0.0,1,277.44
1.0,0.8,0.0,2,282.56
1.2,0.8,0.0,0,284.48
1.2,0.8,0.0,1,279.2
1.2,0.8,0.0,2,2.86
1.4,0.8,0.0,0,275.86
1.4,0.8,0.0,1,278.66
1.4,0.8,0.0,2,275.7
1.6,0.8,0.0,0,277.78
1.6,0.8,0.0,1,285.12
1.6,0.8,0.0,2,274.28
1.8,0.8,0.0,0,278.68
1.8,0.8,0.0,1,283.54
1.8,0.8,0.0,2,275.8
2.0,0.8,0.0,0,281.46
2.0,0.8,0.0,1,271.74
2.0,0.8,0.0,2,279.16
2.2,0.8,0.0,0,284.76
2.2,0.8,0.0,1,282.12
2.2,0.8,0.0,2,282.88
2.4,0.8,0.0,0,281.54
2.4,0.8,0.0,1,282.86
2.4,0.8,0.0,2,279.94
2.6,0.8,0.0,0,279.66
2.6,0.8,0.0,1,280.76
2.6,0.8,0.0,2,283.96
2.8,0.8,0.0,0,281.3
2.8,0.8,0.0,1,283.28
2.8,0.8,0.0,2,279.44
3.0,0.8,0.0,0,274.38
3.0,0.8,0.0,1,283.62
3.0,0.8,0.0,2,278.64
3.2,0.8,0.0,0,281.28
3.2,0.8,0.0,1,284.46
3.2,0.8,0.0,2,277.0
3.4,0.8,0.0,0,283.54
3.4,0.8,0.0,1,282.88
3.4,0.8,0.0,2,264.38
3.6,0.8,0.0,0,275.34
3.6,0.8,0.0,1,2.86
3.6,0.8,0.0,2,277.96
3.8,0.8,0.0,0,277.2
3.8,0.8,0.0,1,283.12
3.8,0.8,0.0,2,282.32
0.0,0.9,0.0,0,280.88
0.0,0.9,0.0,1,277.3
0.0,0.9,0.0,2,283.28
0.2,0.9,0.0,0,282.32
0.2,0.9,0.0,1,279.14
0.2,0.9,0.0,2,279.8
0.4,0.9,0.0,0,4.78
0.4,0.9,0.0,1,282.24
0.4,0.9,0.0,2,279.88
0.6,0.9,0.0,0,280.18
0.6,0.9,0.0,1,278.32
0.6,0.9,0.0,2,280.02
0.8,0.9,0.0,0,278.54
0.8,0.9,0.0,1,278.86
0.8,0.9,0.0,2,279.1
1.0,0.9,0.0,0,273.02
1.0,0.9,0.0,1,276.36
1.0,0.9,0.0,2,277.96
1.2,0.9,0.0,0,277.34
1.2,0.9,0.0,1,281.88
1.2,0.9,0.0,2,277.44
1.4,0.9,0.0,0,283.72
1.4,0.9,0.0,1,278.18
1.4,0.9,0.0,2,278.68
1.6,0.9,0.0,0,274.18
1.6,0.9,0.0,1,278.84
1.6,0.9,0.0,2,282.08
1.8,0.9,0.0,0,278.68
1.8,0.9,0.0,1,280.8
1.8,0.9,0.0,2,274.22
2.0,0.9,0.0,0,283.0
2.0,0.9,0.0,1,285.08
2.0,0.9,0.0,2,282.26
2.2,0.9,0.0,0,279.96
2.2,0.9,0.0,1,279.72
2.2,0.9,0.0,2,283.3
2.4,0.9,0.0,0,275.88
2.4,0.9,0.0,1,275.86
2.4,0.9,0.0,2,282.04
2.6,0.9,0.0,0,279.64
2.6,0.9,0.0,1,284.08
2.6,0.9,0.0,2,282.02
2.8,0.9,0.0,0,285.16
2.8,0.9,0.0,1,281.98
2.8,0.9,0.0,2,281.64
3.0,0.9,0.0,0,283.3
3.0,0.9,0.0,1,282.22
3.0,0.9,0.0,2,273.0
3.2,0.9,0.0,0,279.54
3.2,0.9,0.0,1,284.42
3.2,0.9,0.0,2,280.12
3.4,0.9,0.0,0,282.58
